,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
131,squared_error,11,sqrt,0.0002,square,1000,88,-13.440456550742354
132,squared_error,11,sqrt,0.0002,square,1500,88,-13.444779624553401
133,squared_error,11,sqrt,0.0002,square,2000,88,-13.447859104468975
134,squared_error,11,sqrt,0.0002,square,2500,88,-13.45094466699004
135,squared_error,12,sqrt,5e-05,square,500,88,-13.450796530779902
136,squared_error,12,sqrt,5e-05,square,1000,88,-13.443038020606949
137,squared_error,12,sqrt,5e-05,square,1500,88,-13.440754773250976
138,squared_error,12,sqrt,5e-05,square,2000,88,-13.440522290330815
139,squared_error,12,sqrt,5e-05,square,2500,88,-13.441489301619276
140,squared_error,12,sqrt,0.0001,square,500,88,-13.450818831746654
141,squared_error,12,sqrt,0.0001,square,1000,88,-13.447144120374627
142,squared_error,12,sqrt,0.0001,square,1500,88,-13.449111308694565
143,squared_error,12,sqrt,0.0001,square,2000,88,-13.449241764599506
144,squared_error,12,sqrt,0.0001,square,2500,88,-13.448593185486976
145,squared_error,12,sqrt,0.0002,square,500,88,-13.454241573122335
146,squared_error,12,sqrt,0.0002,square,1000,88,-13.448225500925508
147,squared_error,12,sqrt,0.0002,square,1500,88,-13.441722887631869
148,squared_error,12,sqrt,0.0002,square,2000,88,-13.44290533552502
149,squared_error,12,sqrt,0.0002,square,2500,88,-13.4443414801211
150,squared_error,13,sqrt,5e-05,square,500,88,-13.444754920984119
151,squared_error,13,sqrt,5e-05,square,1000,88,-13.4396457108813
152,squared_error,13,sqrt,5e-05,square,1500,88,-13.44411761755867
153,squared_error,13,sqrt,5e-05,square,2000,88,-13.446568622135965
154,squared_error,13,sqrt,5e-05,square,2500,88,-13.450324571084455
155,squared_error,13,sqrt,0.0001,square,500,88,-13.45322615721131
156,squared_error,13,sqrt,0.0001,square,1000,88,-13.453714461725554
157,squared_error,13,sqrt,0.0001,square,1500,88,-13.449523786698123
158,squared_error,13,sqrt,0.0001,square,2000,88,-13.447399960407804
159,squared_error,13,sqrt,0.0001,square,2500,88,-13.44675611600105
160,squared_error,13,sqrt,0.0002,square,500,88,-13.448942525070146
161,squared_error,13,sqrt,0.0002,square,1000,88,-13.44194807466018
162,squared_error,13,sqrt,0.0002,square,1500,88,-13.447093963021397
163,squared_error,13,sqrt,0.0002,square,2000,88,-13.449303695300856
164,squared_error,13,sqrt,0.0002,square,2500,88,-13.451132436535696
165,squared_error,14,sqrt,5e-05,square,500,88,-13.460789294210755
166,squared_error,14,sqrt,5e-05,square,1000,88,-13.466030743738418
167,squared_error,14,sqrt,5e-05,square,1500,88,-13.464893744954571
168,squared_error,14,sqrt,5e-05,square,2000,88,-13.469010992157683
169,squared_error,14,sqrt,5e-05,square,2500,88,-13.46225925213243
170,squared_error,14,sqrt,0.0001,square,500,88,-13.453570745231499
171,squared_error,14,sqrt,0.0001,square,1000,88,-13.451851019645286
172,squared_error,14,sqrt,0.0001,square,1500,88,-13.449853305842387
173,squared_error,14,sqrt,0.0001,square,2000,88,-13.452356621811457
174,squared_error,14,sqrt,0.0001,square,2500,88,-13.448248462666077
175,squared_error,14,sqrt,0.0002,square,500,88,-13.456409862668124
176,squared_error,14,sqrt,0.0002,square,1000,88,-13.450510651333435
177,squared_error,14,sqrt,0.0002,square,1500,88,-13.451119837267887
178,squared_error,14,sqrt,0.0002,square,2000,88,-13.452909660310212
179,squared_error,14,sqrt,0.0002,square,2500,88,-13.452939587944451
180,friedman_mse,3,sqrt,5e-05,square,500,88,-13.626112556509492
