,year,week,Home_Team,Away_Team,Home_Win,Home_Fav,Home_Vegas_Spread,Home_Actual_Spread,Home_Score,Away_Score,Trail_Home_Score,Trail_Away_Score,Home_Allowed,Away_Allowed,Home_TO,Away_TO,Home_FTO,Away_FTO,Home_Pass_Eff,Away_Pass_Eff,Home_Pass_Def,Away_Pass_Def,Home_Rush_Eff,Away_Rush_Eff,Home_Rush_Def,Away_Rush_Def,Home_Pen_Yds,Away_Pen_Yds,Home_Pen_Yds_Agg,Away_Pen_Yds_Agg,Home_Third_Eff,Away_Third_Eff,Home_Third_Def,Away_Third_Def,Home_Fourth_Eff,Away_Fourth_Eff,Home_Fourth_Def,Away_Fourth_Def,boxscore_url,wonLast,lostLast,lostLastAsFav,wonLastAsDog
36,2014,6,crd,was,W,1,-5.5,-10.0,30.0,20.0,25.1,19.4,19.8,27.6,1.3,2.4,1.5,1.3,7.445975031988911,6.8927181738788885,6.8429246857066115,7.432957594370812,3.6147080933991886,4.092456028694788,3.793470472857335,3.7063454608387985,46.0,64.0,65.6,48.1,0.3879703562525417,0.22101140200551708,0.30872643072199624,0.28614602606847483,1.0768661199900498,-2.6944318447019127,-2.873170291385779,-0.9950340042692318,/boxscores/201410120crd.htm,0,1,0,0
37,2014,7,rai,crd,L,-1,3.5,11.0,13.0,24.0,18.8,24.1,31.8,20.7,2.3,1.3,1.1,1.8,6.574629195388039,7.187841060697046,8.317466262403666,7.356554915126314,3.767695507107272,3.5364472238339717,4.149272850921751,3.683666551288708,52.6,48.4,59.1,62.9,0.3374979903539342,0.37530566661021963,0.5441954517326477,0.27011757257507346,-0.9452079378707673,1.0768661199900498,-1.0448600706676328,-2.351137056758455,/boxscores/201410190rai.htm,1,0,0,0
38,2014,8,crd,phi,W,-1,1.0,-4.0,24.0,20.0,24.4,32.5,19.6,23.3,1.1,1.8,1.8,1.8,7.267384727101451,7.744569777614887,7.277353234454045,7.353816816630986,3.4597887471754944,4.7895227939272065,3.6695798639822064,3.5497078499938914,47.2,50.8,65.5,58.1,0.41733320725098083,0.37659541679702785,0.2697585554196177,0.30402955831119377,0.060769910241931055,-0.763285927352053,-2.735944663766438,-3.2178594486789414,/boxscores/201410260crd.htm,1,0,0,0
39,2014,9,dal,crd,L,1,-1.5,11.0,17.0,28.0,25.9,23.8,21.4,20.6,2.0,1.1,1.5,1.9,8.430764894040909,7.210093060434784,7.4489251533727225,7.269886089890127,4.758908193240539,3.4341093993494076,4.826480504526045,3.5832640745085222,39.2,53.6,51.9,66.8,0.5218960135025936,0.39378009996291496,0.36732099813081576,0.3023352389865287,0.06476198608942045,0.44557751724989425,-2.4385366179793984,-1.2913410663998253,/boxscores/201411020dal.htm,1,0,0,1
40,2014,10,crd,ram,W,1,-7.0,-17.0,31.0,14.0,22.9,18.1,18.9,26.0,1.2,1.7,1.8,1.2,7.172446001611254,6.889103330987567,7.131328096159718,7.727428847226449,3.383055759502665,3.631840680025995,3.603895653455891,4.221361920500788,52.9,76.8,68.5,43.9,0.4079682718276416,0.3268384506878624,0.26260533844894207,0.3670958323544984,0.44557751724989425,-1.0885598512780381,-2.351137056758455,0.9375062824302862,/boxscores/201411090crd.htm,1,0,0,1
41,2014,11,crd,det,W,1,-1.0,-8.0,14.0,6.0,24.3,19.5,19.3,15.6,0.9,1.2,1.9,1.6,7.255567952830768,7.406078968805967,7.45132809615972,6.500039052660552,3.1870726728219037,3.097568066521156,3.4070774716377086,3.720423407002354,51.8,59.9,66.3,50.8,0.41828010807443833,0.31833009932165013,0.24136319457295943,0.23638104662640874,0.44557751724989425,0.6365169057475975,-2.3948368373689255,-1.439375294359196,/boxscores/201411160crd.htm,1,0,0,0
42,2014,12,sea,crd,W,1,-7.0,-16.0,19.0,3.0,26.0,23.7,21.5,17.6,0.9,0.9,1.4,2.0,7.134119864612512,7.381205707932809,6.918458099316114,7.1495633902773665,5.576903655714908,2.9867230224722534,3.3742163090170676,3.5619973801045277,59.6,52.3,37.1,72.3,0.37153827514403215,0.46367690925161664,0.3131357363968533,0.2592646283341714,-0.3379073240873328,0.443443307309454,-0.9950340042692318,-2.3948368373689255,/boxscores/201411230sea.htm,1,0,0,0
43,2014,13,atl,crd,W,-1,1.5,-11.0,29.0,18.0,22.5,22.2,24.7,17.8,1.6,0.8,1.9,1.9,7.236001074962614,7.13266100938811,8.47956487238611,7.447543188257164,3.931554281382657,2.8874922532414837,3.986095823745881,3.7729169203344126,53.2,52.5,54.8,75.0,0.4059403271886207,0.4282515683526607,0.4132918410163902,0.2559816543914865,0.4509639624469629,0.443443307309454,0.8282509143174343,-1.3350408470102957,/boxscores/201411300atl.htm,0,1,0,0
44,2014,14,crd,kan,W,-1,2.5,-3.0,17.0,14.0,21.5,25.0,19.3,17.4,1.1,1.0,1.6,1.0,7.3106450942687475,7.025261754801437,7.617774582878804,6.0580368428941975,2.762816928566159,4.6299079717885885,3.8905639791579425,5.066057624610256,48.8,35.0,75.6,44.8,0.33654112271925263,0.31132660543363844,0.24638387891058336,0.266170373651381,0.443443307309454,0.3997435266989854,0.1095627503563172,-0.8511080765960515,/boxscores/201412070crd.htm,0,1,1,0
45,2014,15,ram,crd,L,1,-4.5,6.0,6.0,12.0,22.9,20.9,20.0,19.3,1.3,1.0,2.0,1.8,7.109918875596216,7.360252937406001,7.366583243456667,7.706894471998693,4.347088315532252,2.878978544727775,3.6354776832363043,4.275218710615743,64.4,49.2,54.9,72.4,0.2162518679639993,0.30316752287630616,0.31820993527527924,0.23509573646819834,-0.660052463659604,0.05863570030149094,-0.6761220304181812,-0.41247048427100746,/boxscores/201412110ram.htm,1,0,0,1
46,2014,16,crd,sea,L,-1,9.0,29.0,6.0,35.0,20.1,22.9,15.8,15.9,1.0,0.9,1.8,1.7,7.238292153092276,7.463391714384362,7.274925023007967,6.38610836651655,3.117575035955846,4.9860728817903865,4.291647282044314,3.7242021256205318,53.6,64.6,72.6,38.8,0.3190511613080956,0.4200005033039044,0.20978540362102582,0.22458805513289432,0.05863570030149094,-2.167318528461849,-1.4722664746296372,0.41912226843691797,/boxscores/201412210crd.htm,1,0,0,1
47,2014,17,sfo,crd,W,1,-6.5,-3.0,20.0,17.0,17.6,17.7,21.7,17.3,1.7,1.1,1.6,1.4,6.696490968032729,7.1501103349104564,7.289810746778831,7.402721075639545,4.319094143404488,2.989169238854396,4.0216917412126145,4.653411987926667,46.6,43.3,62.3,76.1,0.29006097496667,0.28738821138042264,0.384028691761784,0.2530271475735709,-0.7778993495410095,0.443443307309454,-1.4038843797151945,-1.8570740816376206,/boxscores/201412280sfo.htm,0,1,0,0
48,2015,1,crd,nor,W,1,-2.0,-12.0,31.0,19.0,17.0,24.6,18.0,25.9,1.3,1.8,1.4,1.3,7.1239813026523935,7.9005070466271645,7.5694793173977875,7.638690650747103,3.0487368064219638,4.264957377398596,4.982917570063829,5.1901559391219,41.1,37.0,76.5,48.5,0.2546183302045161,0.47448595265221655,0.26694683196158825,0.36766337298091906,1.5032392976680435,-1.7137221682302655,-1.8570740816376206,-0.12228970792834488,/boxscores/201509130crd.htm,0,1,0,0
49,2015,2,chi,crd,L,-1,2.0,25.0,23.0,48.0,18.5,17.7,30.2,17.9,1.7,1.3,1.2,1.2,6.185176388027834,7.300022969319059,8.238661990469485,7.646159424924669,3.9725339176952077,3.220041154248051,4.303687888198757,4.812917570063828,67.8,34.6,51.2,73.5,0.26078218635583794,0.26839089484699036,0.43474575900228285,0.2584946032668019,0.39421504638773863,1.1184316906600804,-0.8455558050740326,-3.3016776790042335,/boxscores/201509200chi.htm,1,0,0,0
50,2015,3,crd,sfo,W,1,-6.5,-40.0,47.0,7.0,19.7,17.6,18.5,20.8,1.4,1.5,1.2,1.7,7.338503361475924,6.491452962559942,7.844738970379214,7.991169873762959,3.279031302031302,4.869081181456042,4.834203284349543,4.016875837073181,34.2,51.8,87.2,53.1,0.26746890613871754,0.3451946734088363,0.24294549104896063,0.339860247319845,1.5032392976680438,-0.6133928103419822,-3.3016776790042335,-1.5411100073345358,/boxscores/201509270crd.htm,1,0,0,0
51,2015,4,crd,ram,L,1,-7.0,2.0,22.0,24.0,21.3,21.1,17.8,17.0,1.4,1.5,1.3,1.7,7.51525641025641,7.559645056196781,7.477370549326582,7.447332026713124,3.5274342504342506,4.239197542223858,4.871193879960828,3.73654366169072,33.1,67.0,83.7,66.1,0.2764047901245764,0.05314961962542132,0.2915574101281796,0.3302336091597324,1.8880469046760069,-2.1981819080350276,-3.257977898393763,-1.6423921737679401,/boxscores/201510040crd.htm,1,0,0,0
52,2015,5,det,crd,L,-1,3.0,25.0,17.0,42.0,19.9,22.1,22.2,19.6,1.6,1.5,2.0,1.2,6.620348687862391,7.324223801560758,7.832141994143035,7.579870549326583,3.6117454585001463,3.888606411606412,3.2051432650541307,4.986173637045848,54.2,31.6,59.2,82.3,0.25565943372023947,0.2096158941627421,0.4029481057749293,0.2980936922240552,-0.4751877311879348,1.844347124065536,-0.333279789016538,-2.1981819080351332,/boxscores/201510110det.htm,0,1,1,0
53,2015,6,pit,crd,W,-1,3.5,-12.0,25.0,13.0,26.8,26.0,20.0,19.4,0.8,1.4,1.3,1.8,8.683537690379797,7.701146878483835,7.670257806504789,7.162208211664245,3.9315546212657013,4.316606411606411,3.9723653322719534,4.869698541260408,43.6,36.1,53.1,83.4,0.412533472884465,0.15946185731006562,0.34544000628272076,0.31178928542348244,-1.4733674582860006,1.844347124065536,-0.596252659912058,-3.257977898393763,/boxscores/201510180pit.htm,1,0,0,0
54,2015,7,crd,rav,W,1,-8.0,-8.0,26.0,18.0,25.5,22.4,19.0,22.2,1.4,1.4,1.7,0.8,7.882856280193236,6.56044732687243,7.151720406786197,7.394192934901048,4.273424593424593,3.9919850358851066,4.892676482436878,3.611824295311057,43.8,60.0,80.6,55.4,0.25580518874909597,0.24793110770470483,0.2796280077403338,0.3539874938499447,0.7845511337069464,0.668114877151529,-3.6427855054017457,-0.18032464029321538,/boxscores/201510260crd.htm,0,1,1,0
55,2015,8,cle,crd,L,-1,6.0,14.0,20.0,34.0,17.0,26.4,24.9,19.4,2.0,1.4,1.2,1.7,7.5447511892330255,8.034465475595535,7.279199273367263,7.030438355504145,3.586271796492892,4.381866151866152,5.050661399532367,4.4952500118486425,66.7,43.8,63.0,79.5,0.26080231783746,0.25715510061203345,0.2970678015237057,0.2723635799890792,-1.3350408470102324,0.7845511337069462,-0.9015081572603633,-3.120752270774422,/boxscores/201511010cle.htm,1,0,0,0
56,2015,10,sea,crd,L,1,-3.0,7.0,32.0,39.0,22.2,28.6,15.2,20.8,1.2,1.8,1.3,1.7,8.610003232319112,8.555342668577993,6.331128985834868,7.000758868324658,4.842902764200635,4.26169071326966,3.399402578093521,4.345250011848643,57.6,40.4,34.0,76.1,0.3350663515329408,0.33068434287862225,0.18554717281057015,0.3155564889759273,0.06476198608942178,0.7845511337069462,-1.044860070667632,-3.1207522707744215,/boxscores/201511150sea.htm,1,0,0,0
